,num_above_peaks_AF3,num_above_peaks_AF4,variance_AF3,variance_AF4,label
102,3,3,37186.270370595485,9899.436552579615,double_blink
103,3,2,47402.13498906736,9776.310238353011,double_blink
104,2,2,25885.618334290026,11215.576606872966,double_blink
105,0,0,84162.10077419339,170938.6116558137,double_blink
106,0,2,2628373.457479124,88538.56093139513,double_blink
107,3,2,582493.362754786,10499.342517296238,double_blink
108,2,3,186428.26700097637,11754.830155748754,double_blink
109,2,2,479417.995888738,18544.57573540594,double_blink
110,2,2,46961.72653790111,17800.946331089664,double_blink
111,3,3,32041.965334780805,13611.805919644707,double_blink
112,3,3,40663.63406632274,9152.769057610882,double_blink
113,2,1,62123.45779877017,50493.239482666395,double_blink
114,3,3,19385.292067063132,6548.3372779421525,double_blink
115,3,4,2498881.0976892808,53528.03571981596,double_blink
116,2,2,1597256.0548733156,46458.54197105508,double_blink
117,2,3,55926.77400454036,10242.417700451497,double_blink
118,3,3,32369.901764556595,7891.75245153809,double_blink
119,3,4,49716.672154134176,21946.1388724402,double_blink
120,2,2,27239.294130342503,8614.563933205414,double_blink
121,3,3,89784.07435700436,29570.964959623514,double_blink
122,3,4,3030845.490604047,98528.89388676119,double_blink
123,3,3,57317.34210548036,15052.13994062399,double_blink
124,4,3,25129.99069977787,10422.16095402939,double_blink
125,4,3,36382.14595526761,13932.269835741621,double_blink
126,3,3,30658.51314791052,13326.039110553254,double_blink
127,2,2,66023.79267748652,26838.010642622216,double_blink
128,2,3,24054.305781024676,7346.5545396201915,double_blink
129,2,2,58182.67719553648,27121.687590098474,double_blink
130,3,3,50740.863088387814,17564.70949188556,double_blink
131,3,3,57383.18646248644,26145.782926708634,double_blink
132,2,2,42976.537060940704,14229.727281761017,double_blink
133,2,2,655591.3987436814,18628.406280180552,double_blink
134,3,3,44685.68848378114,12036.60762332249,double_blink
135,2,2,15166.611073864004,6975.799469250087,double_blink
136,3,3,34699.8956126713,6974.396867232207,double_blink
